"Area","personal income"
"Sacramento-Roseville-Folsom, CA",66940
"Saginaw, MI",47700
"St. Cloud, MN",58261
"St. George, UT",50746
"St. Joseph, MO-KS",46980
"St. Louis, MO-IL",69698
"Salem, OR",53589
"Salinas, CA",65123
"Salisbury, MD-DE",58936
"Salt Lake City, UT",65085
"San Angelo, TX",63284
"San Antonio-New Braunfels, TX",55180
"San Diego-Chula Vista-Carlsbad, CA",74326
"San Francisco-Oakland-Berkeley, CA",123736
"San Jose-Sunnyvale-Santa Clara, CA",141516
"San Luis Obispo-Paso Robles, CA",67951
"Santa Cruz-Watsonville, CA",86365
"Santa Fe, NM",74751
"Santa Maria-Santa Barbara, CA",75720
"Santa Rosa-Petaluma, CA",77900
"Savannah, GA",55383
"Scranton--Wilkes-Barre, PA",52304
"Seattle-Tacoma-Bellevue, WA",92113
"Sebastian-Vero Beach, FL",105250
"Sebring-Avon Park, FL",41845
"Sheboygan, WI",60359
"Sherman-Denison, TX",53393
"Shreveport-Bossier City, LA",55858
"Sierra Vista-Douglas, AZ",50195
"Sioux City, IA-NE-SD",59427
"Sioux Falls, SD",74725
"South Bend-Mishawaka, IN-MI",56410
"Spartanburg, SC",52621
"Spokane-Spokane Valley, WA",53620
"Springfield, IL",57178
"Springfield, MA",60461
"Springfield, MO",49533
"Springfield, OH",47151
"State College, PA",54686
"Staunton, VA",52910
"Stockton, CA",54183
"Sumter, SC",46288
"Syracuse, NY",57576
"Tallahassee, FL",52359
"Tampa-St. Petersburg-Clearwater, FL",60091
"Terre Haute, IN",45783
"Texarkana, TX-AR",46472
"The Villages, FL",69224
"Toledo, OH",54483
"Topeka, KS",54500
"Trenton-Princeton, NJ",79354
"Tucson, AZ",54464
"Tulsa, OK",62618
"Tuscaloosa, AL",41350
"Twin Falls, ID",48305
"Tyler, TX",66784
"Urban Honolulu, HI",64936
"Utica-Rome, NY",51162
"Valdosta, GA",42469
"Vallejo, CA",58273
"Victoria, TX",58905
"Vineland-Bridgeton, NJ",46791
"Virginia Beach-Norfolk-Newport News, VA-NC",57873
"Visalia, CA",47295
"Waco, TX",49798
"Walla Walla, WA",55436
"Warner Robins, GA",47478
"Washington-Arlington-Alexandria, DC-VA-MD-WV",83010
"Waterloo-Cedar Falls, IA",55247
"Watertown-Fort Drum, NY",51749
"Wausau-Weston, WI",58770
"Weirton-Steubenville, WV-OH",47725
"Wenatchee, WA",57853
"Wheeling, WV-OH",53193
"Wichita, KS",58165
"Wichita Falls, TX",51731
"Williamsport, PA",49869
"Wilmington, NC",58526
"Winchester, VA-WV",59702
"Winston-Salem, NC",54330
"Worcester, MA-CT",63475
"Yakima, WA",49266
"York-Hanover, PA",57321
"Youngstown-Warren-Boardman, OH-PA",48645
"Yuba City, CA",50252
"Yuma, AZ",44811
